,code,label,level
101,00 42 26,Proposal Form - Construction Management (Multiple-Prime Contract),4
102,00 42 33,Proposal Form - Cost-Plus-Fee (Single-Prime Contract),4
103,00 42 36,Proposal Form - Cost-Plus-Fee (Multiple-Prime Contract),4
104,00 42 43,Proposal Form - Unit Price (Single-Prime Contract),4
105,00 42 46,Proposal Form - Unit Price (Multiple-Prime Contract),4
106,00 42 53,Proposal Form - Design/Build (Single-Prime Contract),4
107,00 42 56,Proposal Form - Design/Build (Multiple-Prime Contract),4
108,00 42 63,Proposal Form - Purchase Contract,4
109,00 42 73,Proposal Form - Performance Contract,4
110,00 43 00,Procurement Form Supplements,3
111,00 43 13,Bid Security Form,4
112,00 43 21,Allowance Form,4
113,00 43 22,Unit Prices Form,4
114,00 43 23,Alternates Form,4
115,00 43 25,Substitution Request Form (During Procurement),4
116,00 43 26,Estimated Quantities Form,4
117,00 43 27,Separate Prices Break-Out Form,4
118,00 43 28,Tax Rebate Form,4
119,00 43 33,Proposed Products Form,4
120,00 43 36,Proposed Subcontractors Form,4
121,00 43 39,Minority Business Enterprise Statement of Intent Form,4
122,00 43 43,Wage Rates Form,4
123,00 43 73,Proposed Schedule of Values Form,4
124,00 43 83,Proposed Construction Schedule Form,4
125,00 43 86,Proposed Work Plan Schedule Form,4
126,00 43 93,Bid Submittal Checklist,4
127,00 45 00,Representations and Certifications,3
128,00 45 13,Bidder's Qualifications,4
129,00 45 16,Proposer's Qualifications,4
130,00 45 19,Non-Collusion Affidavit,4
131,00 45 23,Statement of Disposal Facility,4
132,00 45 26,Workers Compensation Certificate Schedule,4
133,00 45 33,Non-Segregated Facilities Affidavit,4
134,00 45 36,Equal Employment Opportunity Affidavit,4
135,00 45 39,Minority Business Enterprise Affidavit,4
136,00 45 43,Corporate Resolutions,4
137,00 45 46,Governmental Certifications,4
138,00 50 00,Contracting Forms and Supplements,2
139,00 51 00,Notice of Award,3
140,00 52 00,Agreement Forms,3
141,00 52 13,Agreement Form - Stipulated Sum (design/bid/build or design/negotiate/build),4
142,00 52 14,Subcontract Form - Stipulated Sum (design/bid/build or design/negotiate/build),4
143,00 52 16,Agreement Form - Cost-Plus (design/bid/build or design/negotiate/build),4
144,00 52 17,Subcontract Form - Cost-Plus (design/bid/build or design/negotiate/build),4
145,00 52 23,Agreement Form - Construction Manager as Agent or Advisor - Stipulated Sum,4
146,00 52 24,Subcontract Form - Construction Manager as Agent or Adviser - Stipulated Sum,4
147,00 52 26,Agreement Form - Construction Manager as Agent or Adviser - Cost-Plus,4
148,00 52 27,Subcontract Form - Construction Manager as Agent or Adviser - Cost-Plus,4
149,00 52 33,Agreement Form - Construction Manager at Risk - Stipulated Sum,4
150,00 52 34,Subcontract Form - Construction Manager at Risk - Stipulated Sum,4
151,00 52 36,Agreement Form - Construction Manager at Risk - Cost-Plus,4
152,00 52 37,Subcontract Form - Construction Manager at Risk - Cost-Plus,4
153,00 52 51,Public-Private Partnership Agreement,4
154,00 52 52,Agreement for Preliminary Services - Owner-Design/Builder,4
155,00 52 53,Agreement Form - Owner-Design/Builder - Stipulated Sum,4
156,00 52 54,Subcontract Form - Design/Build - Stipulated Sum,4
157,00 52 56,Agreement Form - Owner-Design/Builder - Cost-Plus,4
158,00 52 57,Subcontract Form - Design/Build - Cost-Plus,4
159,00 52 63,Agreement Form - Purchase - Stipulated Price,4
160,00 52 73,Agreement Form - Performance Contract,4
161,00 52 93,Multi-Party Agreement Form - Integrated Project Delivery,4
162,00 52 96,Agreement between Single-Purpose Entity and Owner - Integrated Project Delivery,4
163,00 52 97,Agreement between Single-Purpose Entity and Non-Owner - Integrated Project Delivery,4
164,00 52 98,Agreement between Single-Purpose Entity and Consultant - Integrated Project Delivery,4
165,00 54 00,Agreement Form Supplements,3
166,00 54 13,Supplementary Scope Statement,4
167,00 54 21,Allowances Schedule,4
168,00 54 22,Unit Prices Schedule,4
169,00 54 33,Digital/Electronic Data Protocol Exhibit,4
170,00 54 36,Building Information Modeling Exhibit,4
171,00 55 00,Notice to Proceed,3
172,00 60 00,Project Forms,2
173,00 61 00,Bond Forms,3
174,00 61 13,Performance and Payment Bond Form,4
175,00 61 13.13,Performance Bond Form,5
176,00 61 13.16,Payment Bond Form,5
177,00 61 16,Lien Bond Form,4
178,00 61 19,Maintenance Bond Form,4
179,00 61 23,Retainage Bond Form,4
180,00 61 26,Special Bond Form,4
181,00 62 00,Certificates and Other Forms,3
182,00 62 11,Submittal Transmittal Form,4
183,00 62 16,Certificate of Insurance Form,4
184,00 62 19,Infection Control Form,4
185,00 62 23,Construction Waste Diversion Form,4
186,00 62 33,Products Form,4
187,00 62 34,Recycled Content of Materials Form,4
188,00 62 39,Minority Business Enterprise Certification Form,4
189,00 62 73,Schedule of Values Form,4
190,00 62 76,Application for Payment Form,4
191,00 62 76.13,Sales Tax Form,5
192,00 62 76.16,Consent of Surety to Reduction of Retainage Form,5
193,00 62 79,Stored Material Form,4
194,00 62 83,Construction Schedule Form,4
195,00 62 86,Work Plan Schedule Form,4
196,00 62 89,Construction Equipment Form,4
197,00 63 00,Clarification and Modification Forms,3
198,00 63 13,Request for Interpretation Form,4
199,00 63 19,Clarification Form,4
200,00 63 25,Substitution Request Form (During Construction),4
201,00 63 33,Supplemental Instruction Form,4
202,00 63 36,Field Order Form,4
203,00 63 43,Written Amendment Form,4
204,00 63 46,Construction Change Directive Form,4
205,00 63 49,Work Change Directive Form,4
206,00 63 53,Request for Proposal Form,4
207,00 63 54,Proposal Worksheet Summary Form,4
208,00 63 55,Proposal Worksheet Detail Form,4
209,00 63 57,Change Order Request Form,4
210,00 63 63,Change Order Form,4
211,00 65 00,Closeout Forms,3
212,00 65 13,Certificate of Compliance Form,4
213,00 65 16,Certificate of Substantial Completion Form,4
214,00 65 19,Certificate of Completion Form,4
215,00 65 19.13,Affidavit of Payment of Debts and Claims Form,5
216,00 65 19.16,Affidavit of Release of Liens Form,5
217,00 65 19.19,Consent of Surety to Final Payment Form,5
218,00 65 19.23,Acceptance Certificate Form,5
219,00 65 19.26,Final Settlement Certificate Form,5
220,00 65 36,Warranty Form,4
221,00 65 73,Statutory Declaration Form,4
222,00 70 00,Conditions of the Contract,2
223,00 71 00,Contracting Definitions,3
224,00 72 00,General Conditions,3
225,00 72 13,General Conditions - Stipulated Sum (Single-Prime Contract),4
226,00 72 16,General Conditions - Stipulated Sum (Multiple-Prime Contract),4
227,00 72 23,General Conditions - Construction Management (Single-Prime Contract),4
228,00 72 26,General Conditions - Construction Management (Multiple-Prime Contract),4
229,00 72 33,General Conditions - Cost Plus-Fee (Single-Prime Contract),4
230,00 72 36,General Conditions - Cost-Plus-Fee (Multiple-Prime Contract),4
231,00 72 43,General Conditions - Unit Price (Single-Prime Contract),4
232,00 72 46,General Conditions - Unit Price (Multiple-Prime Contract),4
233,00 72 53,General Conditions - Design/Build (Single-Prime Contract),4
234,00 72 56,General Conditions - Design/Build (Multiple-Prime Contract),4
235,00 72 73,General Conditions - Performance Contract,4
236,00 72 95,General Conditions - Integrated Project Delivery,4
237,00 73 00,Supplementary Conditions,3
238,00 73 16,Insurance Requirements,4
239,00 73 19,Health and Safety Requirements,4
240,00 73 23,Purchase Contracts,4
241,00 73 26,Assigned Contracts,4
242,00 73 33,Non-Segregated Facilities Requirements,4
243,00 73 36,Equal Employment Opportunity Requirements,4
244,00 73 39,Minority Business Enterprise Requirements,4
245,00 73 43,Wage Rate Requirements,4
246,00 73 46,Wage Determination Schedule,4
247,00 73 49,Labor Stabilization Agreement,4
248,00 73 53,Anti-Pollution Measures,4
249,00 73 63,Security Requirements,4
250,00 73 73,Statutory Requirements,4
251,00 73 83,Dispute Resolution,4
252,00 90 00,"Revisions, Clarifications, and Modifications",2
253,00 91 00,Precontract Revisions,3
254,00 91 13,Addenda,4
255,00 91 16,Bid Revisions,4
256,00 91 19,Proposal Revisions,4
257,00 93 00,Record Clarifications and Proposals,3
258,00 93 13,Record Requests for Interpretation,4
259,00 93 19,Record Clarification Notices,4
260,00 93 53,Record Proposal Requests,4
261,00 93 54,Record Proposal Worksheet Summaries,4
262,00 93 57,Record Change Order Requests,4
263,00 94 00,Record Modifications,3
264,00 94 33,Record Minor Changes in the Work,4
265,00 94 36,Record Supplemental Instructions,4
266,00 94 39,Record Field Orders,4
267,00 94 43,Record Amendments,4
268,00 94 46,Record Construction Change Directives,4
269,00 94 49,Record Work Change Directives,4
270,00 94 63,Record Change Orders,4
271,01 00 00,General Requirements,1
272,01 10 00,Summary,2
273,01 11 00,Summary of Work,3
274,01 11 13,Work Covered by Contract Documents,4
275,01 11 16,Work by Owner,4
276,01 11 19,Purchase Contracts,4
277,01 12 00,Multiple Contract Summary,3
278,01 12 13,Summary of Contracts,4
279,01 12 16,Work Sequence,4
280,01 12 19,Contract Interface,4
281,01 14 00,Work Restrictions,3
282,01 14 13,Access to Site,4
283,01 14 16,Coordination with Occupants,4
284,01 14 19,Use of Site,4
285,01 14 33,Work in Rights-of-Way,4
286,01 18 00,Project Utility Sources,3
287,01 18 13,Utility Service Connections,4
288,01 20 00,Price and Payment Procedures,2
289,01 21 00,Allowances,3
290,01 21 13,Cash Allowances,4
291,01 21 16,Contingency Allowances,4
292,01 21 19,Testing and Inspecting Allowances,4
293,01 21 23,Installation Allowances,4
294,01 21 26,Product Allowances,4
295,01 21 29,Quantity Allowances,4
296,01 21 43,Time Allowances,4
297,01 22 00,Unit Prices,3
298,01 22 13,Unit Price Measurement,4
299,01 22 16,Unit Price Payment,4
300,01 23 00,Alternates,3
301,01 24 00,Value Analysis,3
302,01 24 13,Value Engineering,4
303,01 25 00,Substitution Procedures,3
304,01 25 13,Product Substitution Procedures,4
305,01 25 16,Execution Substitution Procedures,4
306,01 26 00,Contract Modification Procedures,3
307,01 26 13,Requests for Interpretation,4
308,01 26 19,Clarification Notices,4
309,01 26 33,Minor Changes in the Work,4
310,01 26 36,Supplemental Instructions,4
311,01 26 39,Field Orders,4
312,01 26 43,Amendments,4
313,01 26 46,Construction Change Directives,4
314,01 26 49,Work Change Directives,4
315,01 26 53,Proposal Requests,4
316,01 26 54,Proposal Worksheet Summaries,4
317,01 26 57,Change Order Requests,4
318,01 26 63,Change Orders,4
319,01 29 00,Payment Procedures,3
320,01 29 73,Schedule of Values,4
321,01 29 76,Progress Payment Procedures,4
322,01 29 83,Payment Procedures for Testing Laboratory Services,4
323,01 30 00,Administrative Requirements,2
324,01 31 00,Project Management and Coordination,3
325,01 31 13,Project Coordination,4
326,01 31 14,Facility Services Coordination,4
327,01 31 16,Multiple Contract Coordination,4
328,01 31 19,Project Meetings,4
329,01 31 19.13,Preconstruction Meetings,5
330,01 31 19.16,Site Mobilization Meetings,5
331,01 31 19.23,Progress Meetings,5
332,01 31 19.33,Preinstallation Meetings,5
333,01 31 23,Project Web Site,4
334,01 31 26,Electronic Communication Protocols,4
335,01 32 00,Construction Progress Documentation,3
336,01 32 13,Scheduling of Work,4
337,01 32 16,Construction Progress Schedule,4
338,01 32 16.13,Network Analysis Schedules,5
339,01 32 19,Submittals Schedule,4
340,01 32 23,Survey and Layout Data,4
341,01 32 26,Construction Progress Reporting,4
342,01 32 29,Periodic Work Observation,4
343,01 32 33,Photographic Documentation,4
344,01 32 36,Video Monitoring and Documentation,4
345,01 32 43,Purchase Order Tracking,4
346,01 33 00,Submittal Procedures,3
347,01 33 13,Certificates,4
348,01 33 16,Design Data,4
349,01 33 19,Field Test Reporting,4
350,01 33 23,"Shop Drawings, Product Data, and Samples",4
351,01 33 26,Source Quality Control Reporting,4
352,01 33 29,Sustainable Design Reporting,4
353,01 33 29.01,Material Cost Summary Form,5
354,01 33 29.02,Wood-Containing Product List,5
355,01 33 29.03,Metal-Containing Product List,5
356,01 33 29.04,Material Content Form,5
357,01 33 29.05,New Product Source Form,5
358,01 33 29.06,Reused Product Form,5
359,01 33 29.07,Prohibited Content Installer Certification,5
360,01 35 00,Special Procedures,3
361,01 35 03,Conservation Treatment Procedures,4
362,01 35 13,Special Project Procedures,4
363,01 35 13.13,Special Project Procedures for Airport Facilities,5
364,01 35 13.16,Special Project Procedures for Detention Facilities,5
365,01 35 13.19,Special Project Procedures for Healthcare Facilities,5
366,01 35 13.26,Special Project Procedures for Clean Rooms,5
367,01 35 13.43,Special Project Procedures for Contaminated Sites,5
368,01 35 16,Alteration Project Procedures,4
369,01 35 23,Owner Safety Requirements,4
370,01 35 26,Governmental Safety Requirements,4
371,01 35 29,"Health, Safety, and Emergency Response Procedures",4
372,01 35 29.13,"Health, Safety, and Emergency Response Procedures for Contaminated Sites",5
373,01 35 33,Infection Control Procedures,4
374,01 35 43,Environmental Procedures,4
375,01 35 43.13,Environmental Procedures for Hazardous Materials,5
376,01 35 43.16,Environmental Procedures for Toxic Materials,5
377,01 35 46,Indoor Air Quality Procedures,4
378,01 35 53,Security Procedures,4
379,01 35 63,Sustainability Certification Project Requirements,4
380,01 35 66,Sustainability Certification Project Procedures,4
381,01 35 73,Delegated Design Procedures,4
382,01 35 91,Period Treatment Procedures,4
383,01 40 00,Quality Requirements,2
384,01 41 00,Regulatory Requirements,3
385,01 41 13,Codes,4
386,01 41 16,Laws,4
387,01 41 19,Rules,4
388,01 41 23,Fees,4
389,01 41 26,Permit Requirements,4
390,01 42 00,References,3
391,01 42 13,Abbreviations and Acronyms,4
392,01 42 16,Definitions,4
393,01 42 19,Reference Standards,4
394,01 43 00,Quality Assurance,3
395,01 43 13,Manufacturer Qualifications,4
396,01 43 16,Supplier Qualifications,4
397,01 43 19,Fabricator Qualifications,4
398,01 43 23,Installer Qualifications,4
399,01 43 26,Testing and Inspecting Agency Qualifications,4
400,01 43 29,Code-Required Special Inspector Qualifications,4
401,01 43 33,Manufacturer's Field Services,4
402,01 43 36,Field Samples,4
403,01 43 39,Mockups,4
404,01 45 00,Quality Control,3
405,01 45 13,Source Quality Control Procedures,4
406,01 45 16,Field Quality Control Procedures,4
407,01 45 16.13,Contractor Quality Control,5
408,01 45 23,Testing and Inspecting Services,4
409,01 45 26,Plant Inspection Procedures,4
410,01 45 29,Testing Laboratory Services,4
411,01 45 33,Code-Required Special Inspections and Procedures,4
412,01 50 00,Temporary Facilities and Controls,2
413,01 51 00,Temporary Utilities,3
414,01 51 13,Temporary Electricity,4
415,01 51 16,Temporary Fire Protection,4
416,01 51 19,Temporary Fuel Oil,4
417,01 51 23,"Temporary Heating, Cooling, and Ventilating",4
418,01 51 26,Temporary Lighting,4
419,01 51 29,Temporary Natural-Gas,4
420,01 51 33,Temporary Telecommunications,4
421,01 51 36,Temporary Water,4
422,01 52 00,Construction Facilities,3
423,01 52 13,Field Offices and Sheds,4
424,01 52 16,First Aid Facilities,4
425,01 52 19,Sanitary Facilities,4
426,01 53 00,Temporary Construction,3
427,01 53 13,Temporary Bridges,4
428,01 53 16,Temporary Decking,4
429,01 53 19,Temporary Overpasses,4
430,01 53 23,Temporary Ramps,4
431,01 53 26,Temporary Runarounds,4
432,01 54 00,Construction Aids,3
433,01 54 13,Temporary Elevators,4
434,01 54 16,Temporary Hoists,4
435,01 54 19,Temporary Cranes,4
436,01 54 23,Temporary Scaffolding and Platforms,4
437,01 54 26,Temporary Swing Staging,4
438,01 55 00,Vehicular Access and Parking,3
439,01 55 13,Temporary Access Roads,4
440,01 55 16,Haul Routes,4
441,01 55 19,Temporary Parking Areas,4
442,01 55 23,Temporary Roads,4
443,01 55 26,Traffic Control,4
444,01 55 29,Staging Areas,4
445,01 56 00,Temporary Barriers and Enclosures,3
446,01 56 13,Temporary Air Barriers,4
447,01 56 16,Temporary Dust Barriers,4
448,01 56 19,Temporary Noise Barriers,4
449,01 56 23,Temporary Barricades,4
450,01 56 26,Temporary Fencing,4
451,01 56 29,Temporary Protective Walkways,4
452,01 56 33,Temporary Security Barriers,4
453,01 56 36,Temporary Security Enclosures,4
454,01 56 39,Temporary Tree and Plant Protection,4
455,01 57 00,Temporary Controls,3
456,01 57 13,Temporary Erosion and Sediment Control,4
457,01 57 16,Temporary Pest Control,4
458,01 57 19,Temporary Environmental Controls,4
459,01 57 23,Temporary Storm Water Pollution Control,4
460,01 57 26,Site Watering for Dust Control,4
461,01 58 00,Project Identification,3
462,01 58 13,Temporary Project Signage,4
463,01 58 16,Temporary Interior Signage,4
464,01 60 00,Product Requirements,2
465,01 61 00,Common Product Requirements,3
466,01 61 13,Software Licensing Requirements,4
467,01 62 00,Product Options,3
468,01 64 00,Owner-Furnished Products,3
469,01 65 00,Product Delivery Requirements,3
470,01 66 00,Product Storage and Handling Requirements,3
471,01 66 13,Product Storage and Handling Requirements for Hazardous Materials,4
472,01 66 16,Product Storage and Handling Requirements for Toxic Materials,4
473,01 70 00,Execution and Closeout Requirements,2
474,01 71 00,Examination and Preparation,3
475,01 71 13,Mobilization,4
476,01 71 16,Acceptance of Conditions,4
477,01 71 23,Field Engineering,4
478,01 71 23.13,Construction Layout,5
479,01 71 23.16,Construction Surveying,5
480,01 71 33,Protection of Adjacent Construction,4
481,01 71 36,Non-Destructive Concrete Examination,4
482,01 73 00,Execution,3
483,01 73 13,Application,4
484,01 73 16,Erection,4
485,01 73 19,Installation,4
486,01 73 23,Bracing and Anchoring,4
487,01 73 26,Existing Products,4
488,01 73 29,Cutting and Patching,4
489,01 74 00,Cleaning and Waste Management,3
490,01 74 13,Progress Cleaning,4
491,01 74 16,Site Maintenance,4
492,01 74 19,Construction Waste Management and Disposal,4
493,01 74 23,Final Cleaning,4
494,01 75 00,Starting and Adjusting,3
495,01 75 13,Checkout Procedures,4
496,01 75 16,Startup Procedures,4
497,01 76 00,Protecting Installed Construction,3
498,01 77 00,Closeout Procedures,3
499,01 77 13,Preliminary Closeout Reviews,4
500,01 77 16,Final Closeout Review,4
501,01 77 19,Closeout Requirements,4
502,01 78 00,Closeout Submittals,3
503,01 78 13,Completion and Correction List,4
504,01 78 19,Maintenance Contracts,4
505,01 78 23,Operation and Maintenance Data,4
506,01 78 23.13,Operation Data,5
507,01 78 23.16,Maintenance Data,5
508,01 78 23.19,Preventative Maintenance Instructions,5
509,01 78 29,Final Site Survey,4
510,01 78 33,Bonds,4
511,01 78 36,Warranties,4
512,01 78 39,Project Record Documents,4
513,01 78 43,Spare Parts,4
514,01 78 46,Extra Stock Materials,4
515,01 78 53,Sustainable Design Closeout Documentation,4
516,01 79 00,Demonstration and Training,3
517,01 80 00,Performance Requirements,2
518,01 81 00,Facility Performance Requirements,3
519,01 81 13,Sustainable Design Requirements,4
520,01 81 16,Facility Environmental Requirements,4
521,01 81 19,Indoor Air Quality Requirements,4
522,01 82 00,Facility Substructure Performance Requirements,3
523,01 82 13,Foundation Performance Requirements,4
524,01 82 16,Basement Construction Performance Requirements,4
525,01 83 00,Facility Shell Performance Requirements,3
526,01 83 13,Superstructure Performance Requirements,4
527,01 83 16,Exterior Enclosure Performance Requirements,4
528,01 83 19,Roofing Performance Requirements,4
529,01 84 00,Interiors Performance Requirements,3
530,01 84 13,Interior Construction Performance Requirements,4
531,01 84 16,Stairways Performance Requirements,4
532,01 84 19,Interior Finishes Performance Requirements,4
533,01 85 00,Conveying Equipment Performance Requirements,3
534,01 86 00,Facility Services Performance Requirements,3
535,01 86 13,Fire Suppression Performance Requirements,4
536,01 86 16,Plumbing Performance Requirements,4
537,01 86 19,HVAC Performance Requirements,4
538,01 86 23,Integrated Automation Performance Requirements,4
539,01 86 26,Electrical Performance Requirements,4
540,01 86 29,Communications Performance Requirements,4
541,01 86 33,Electronic Safety and Security Performance Requirements,4
542,01 87 00,Equipment and Furnishings Performance Requirements,3
543,01 87 13,Equipment Performance Requirements,4
544,01 87 16,Furnishings Performance Requirements,4
545,01 88 00,Other Facility Construction Performance Requirements,3
546,01 88 13,Special Construction Performance Requirements,4
547,01 88 16,Selective Construction Performance Requirements,4
548,01 89 00,Site Construction Performance Requirements,3
549,01 89 13,Site Preparation Performance Requirements,4
550,01 89 16,Site Improvements Performance Requirements,4
551,01 89 19,Site Plumbing Utilities Performance Requirements,4
552,01 89 23,Site HVAC Utilities Performance Requirements,4
553,01 89 26,Site Electrical Utilities Performance Requirements,4
554,01 89 29,Other Site Construction Performance Requirements,4
555,01 90 00,Life Cycle Activities,2
556,01 91 00,Commissioning,3
557,01 91 13,General Commissioning Requirements,4
558,01 91 16,Facility Substructure Commissioning,4
559,01 91 16.13,Foundation Commissioning,5
560,01 91 16.53,Basement Construction Commissioning,5
561,01 91 19,Facility Shell Commissioning,4
562,01 91 19.13,Superstructure Commissioning,5
563,01 91 19.43,Exterior Enclosure Commissioning,5
564,01 91 19.73,Roofing Commissioning,5
565,01 91 23,Interiors Commissioning,4
566,01 91 23.13,Interior Construction Commissioning,5
567,01 91 23.43,Stairways Commissioning,5
568,01 91 23.73,Interior Finishes Commissioning,5
569,01 92 00,Facility Operation,3
570,01 92 13,Facility Operation Procedures,4
571,01 93 00,Facility Maintenance,3
572,01 93 13,Facility Maintenance Procedures,4
573,01 93 16,Recycling Programs,4
574,01 94 00,Facility Decommissioning,3
575,01 94 13,Facility Decommissioning Procedures,4
576,02 00 00,Existing Conditions,1
577,02 01 00,Maintenance of Existing Conditions,3
578,02 01 50,Maintenance of Site Remediation,4
579,02 01 65,Maintenance of Underground Storage Tank Removal,4
580,02 01 80,Maintenance of Facility Remediation,4
581,02 01 86,Maintenance of Hazardous Waste Drum Handling,4
582,02 03 00,Conservation Treatment for Existing Period Conditions,3
583,02 03 01,Maintenance of Existing Period Conditions,4
584,02 03 01.19,Mothballing Period Structures,5
585,02 03 41,Selective Demolition for Period Structures,4
586,02 03 42,Removal and Salvage of Period Construction Materials,4
587,02 03 43,Period Structure Relocating,4
588,02 03 44,Shoring and Support of Period Structures,4
589,02 05 00,Common Work Results for Existing Conditions,3
590,02 05 19,Geosynthetics for Existing Conditions,4
591,02 05 19.13,Geotextiles for Existing Conditions,5
592,02 05 19.16,Geomembranes for Existing Conditions,5
593,02 05 19.19,Geogrids for Existing Conditions,5
594,02 06 00,Schedules for Existing Conditions,3
595,02 06 13,Geotechnical Baseline Report,4
596,02 06 14,Geotechnical Data Report,4
597,02 06 30,Schedules for Subsurface Investigations,4
598,02 06 30.13,Boring or Test Pit Log Schedule,5
599,02 06 50,Schedules for Site Remediation,4
600,02 06 65,Schedules for Underground Storage Tank Removal,4
601,02 06 80,Schedules for Facility Remediation,4
602,02 06 86,Schedules for Hazardous Waste Drum Handling,4
603,02 08 00,Commissioning of Existing Conditions,3
604,02 20 00,Assessment,2
605,02 21 00,Surveys,3
606,02 21 13,Site Surveys,4
607,02 21 13.13,Boundary and Survey Markers,5
608,02 21 13.23,Archeological and Historic Surveys,5
609,02 21 16,Measured Drawings,4
610,02 22 00,Existing Conditions Assessment,3
611,02 22 13,Movement and Vibration Assessment,4
612,02 22 16,Acoustic Assessment,4
613,02 22 19,Traffic Assessment,4
614,02 22 23,Accessibility Assessment,4
615,02 24 00,Environmental Assessment,3
616,02 24 13,Natural Environment Assessment,4
617,02 24 13.13,Air Assessment,5
