,IFC,Master Format,eBPK,Master Format indexes,eBPK indexes
37,air to air heat  recovery,['Air Barriers' 'HVAC Air Distribution' 'Gas-Phase Air Filtration'],['Air distribution' 'Air heating storage' 'Air output'],[1501 4099 4169],[119 118 120]
38,boiler,['Boiler Feedwater Pumps' 'Boiler Blowdown Systems' 'Water-Tube Boilers'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[4209 4207 4199],[327 102 104]
39,burner,"['Burner Management Systems' 'Waste Gas Burner System'
 'Commercial, Power-Burner, Gas Domestic Water Heaters']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[7234 7894 3821],[327 102 104]
40,chiller,"['Packaged Water Chiller Schedule' 'Reciprocating Water Chillers'
 'Rotary-Screw Water Chillers']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[4000 4262 4266],[327 102 104]
41,coil,['Fan Coil Units' 'Air Coils' 'Hydronic Air Coils'],['Hand change tax' 'Commissioning building' 'Provisional building'],[4361 4356 4357],[  4 318  25]
42,compressor,"['Axial-flow Compressors' 'Single-acting Reciprocating Compressors'
 'Packaged Compressor and Condenser Units']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[7878 7879 4247],[327 102 104]
43,condenser,"['Capacitors' 'Refrigerant Condenser Schedule'
 'Packaged Compressor and Condenser Units']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[4656 3999 4247],[327 102 104]
44,cooled  beam,['Chilled Beams' 'Concrete Beam Schedule' 'Glued-Laminated Beams'],['Shaft front' 'Air distribution' 'Air output'],[4355  810 1285],[172 119 120]
45,cooling  tower,"['Cooling Towers' 'Natural-Draft Cooling Towers'
 'Field-Erected Cooling Towers']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[4272 4281 4282],[327 102 104]
46,damper,['Dampers' 'Volume-Control Dampers' 'Smoke-Control Dampers'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[4119 4120 4122],[327 102 104]
47,duct  fitting,['Metal Duct Fittings' 'Duct Silencers' 'HDPE Communication Duct'],"['Wastewater fitting' 'Production system fitting'
 'Laboratory system fitting']",[4104 4124 5977],[132 197 202]
48,duct  segment,['Duct Silencers' 'HDPE Communication Duct' 'Concrete Ducts'],"['Material transport system' 'Transport system for the environment'
 'Rainwater line']",[4124 5977 4109],[243 275  34]
49,duct  silencer,['Duct Silencers' 'HDPE Communication Duct' 'Concrete Ducts'],"['Material transport system' 'Transport system for the environment'
 'Rainwater line']",[4124 5977 4109],[243 275  34]
50,engine,['Engine Generators' 'Locomotives' 'Internal-Combustion Engine Piping'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[4632 7726 4090],[327 102 104]
51,evaporative  cooler,"['Evaporative Air-Cooling Equipment' 'Indirect Evaporative Air Coolers'
 'Evaporative Refrigerant Condensers']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[4325 4327 4254],[327 102 104]
52,evap orator,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
53,fan,['HVAC Fan Schedule' 'HVAC Fans' 'Draft-Induction Fans'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[3992 4131 4181],[327 102 104]
54,filter,"['Inline Stormwater Filters' 'Electromagnetic-Interference Filters'
 'Stormwater Downspout Filters']",['Air distribution' 'Air output' 'Air heating storage'],[6221 4658 6220],[119 120 118]
55,flow  meter,"['V-Cone Flow Meters' 'Coriolis Flow Meters'
 'Flow Nozzle-Type Flow Meters']","['Protection measure for the environment' 'Engineer biological measure'
 'Storage strong current']",[7251 7263 7245],[ 22 263  77]
56,heat  exchanger,"['Heat Exchangers for HVAC' 'Steam-to-Water Heat Exchangers'
 'Liquid-to-Liquid Heat Exchangers']",['Heat distribution' 'Heat storage' 'Heat generation'],[4233 4235 4236],[107 106 105]
57,humidif ier,"['No. 1 Fuel-Oil Process Piping'
 'Ground-Level AWWA D110 Type I Prestressed Concrete Wastewater Storage Tanks'
 'Ground-Level AWWA D110 Type I Prestressed Concrete Water Storage Tanks']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[7090 6167 6103],[327 102 104]
58,medical  device,"['Medical Sterilizing Equipment' 'Medical Gas Alarms'
 'Hazardous Waste and Medical Waste Incinerators']",['Medical equipment' 'Medical textiles' 'medical facilities'],[2969 3714 8336],[224 221 219]
59,pipe  fitting,['Concrete Pipe Wall Fittings' 'Concrete Pipe' 'Concrete Pipe'],"['Wastewater fitting' 'Production system fitting'
 'Laboratory system fitting']",[5997 6927 5983],[132 197 202]
60,pipe  segment,['Concrete Pipe' 'Concrete Pipe' 'Pipe Underdrains'],['Wastewater pipe' 'Water pipe' 'Underground building'],[6927 5983 6188],[ 33  32 253]
61,pump,['Hydronic Pump Schedule' 'Hydronic Pumps' 'Gray-Water Pumps'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[3990 4071 3729],[327 102 104]
62,space  heater,['Fuel-Fired Heaters' 'Space Frames' 'Metal Space Frames'],"['working space' 'Smoke and heat treatment plant'
 'Construction site organization']",[4216 3414 3415],[ 17 102  21]
63,tank,['Chemical-Waste Tanks' 'Tank Trucks' 'Top-entering Tank Mixers'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[3948 7717 8573],[327 102 104]
64,tube  bundle,['Tube Settlers' 'Pneumatic Tube Systems' 'Submersible Tube Tunnels'],['Underground building' 'Wastewater pipe' 'Water pipe'],[8587 3590 5550],[253  33  32]
65,unitary  equipment,"['Decentralized Unitary HVAC Equipment'
 'Decentralized Unitary HVAC Equipment Schedule'
 'Air-Source Unitary Heat Pumps']","['Medical equipment' 'Fixed equipment for the area'
 'Mobile equipment for the surrounding area']",[4330 4005 4350],[224 278 277]
66,valve,['Valve Accessories' 'Air-Admittance Valves' 'Pressure-Relief Valves'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[7021 3748 6983],[327 102 104]
67,vibration isola tor,"['Vibration Monitoring Systems' 'Bridge Vibration Dampers'
 'Vibration Instruments']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[7355 6677 4033],[327 102 104]
68,actor,"['Players and Recorders' 'Workers Compensation Certificate Schedule'
 'Dressers']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[2896  132 3267],[327 102 104]
69,context,['Telescope Mounts' 'Scopes of Proposals' 'Procurement Scopes'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[2915   27   23],[327 102 104]
70,control,['Control Valves' 'Control Valves' 'Control Dampers'],['Recreation system control' 'Access control system' 'guarantee'],[4020 4017 4021],[235  94 311]
71,group,"['Ultra High-Performance Structural Concrete' 'Base Station'
 'Base Station Transceivers']",['Base plate' 'VAT' 'Electro acoustic loudspeaker system'],[ 817 4973 6449],[ 58 327 103]
72,object,"['Target Flow Meters' 'Pneumatically Placed Concrete'
 'Underwater Placed Concrete']",['Art object' 'Heat train investment share' 'VAT'],[7257  838  840],[290 109 327]
73,object  definition,['Definitions' 'Target Flow Meters' 'Procurement Definitions'],['Art object' 'Heat train investment share' 'VAT'],[ 392 7257   22],[290 109 327]
74,process,"['Process Humidifiers' 'Process Ductwork'
 'Special-Application Process Valves']",['Provisional work management' 'working space' 'Border'],[7811 7046 6995],[ 24  17 261]
75,product,['Product Requirements' 'Owner-Furnished Products' 'Product Options'],"['Production system distribution' 'Production system storage'
 'Production system supply']",[464 468 467],[196 195 193]
76,project,['Project Coordination' 'Project Directory' 'Project Identification'],"['Advice on planning' 'Artistically designed component'
 'Additional costs for planning services']",[325   2 461],[299 291 298]
77,resource,"['Healthcare Imaging Systems'
 'Electrical Power Generation Voltage Test Equipment' 'Acoustical Shells']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[4887 8773 2922],[327 102 104]
78,root,"['Chemical Treatment of Roots in Sewer Lines' 'Groundwater Sources'
 'Hydrocarbon Sources']",['Heat source' 'Cold source' 'Base plate'],[5881 6058 6245],[104 110  58]
79,material,['Material Dryers' 'Material Roasters' 'Backfill Material Schedule'],"['Material installation' 'Furnishing for material preparation'
 'Material transport system']",[7818 7823 5286],[ 43  19 243]
80,material  definition,['Material Dryers' 'Material Roasters' 'Backfill Material Schedule'],"['Material installation' 'Furnishing for material preparation'
 'Material transport system']",[7818 7823 5286],[ 43  19 243]
81,fire suppression  terminal,"['Fire Suppression' 'Schedules for Fire Suppression'
 'Commissioning of Fire Suppression']",['Fire alarm system' 'Inner conclusion' 'Storage device'],[3593 3610 3617],[ 97 185 245]
82,interceptor,"['Sanitary Waste Interceptors'
 'Electrical Power Generation Voltage Test Equipment' 'Acoustical Shells']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[3749 8773 2922],[327 102 104]
83,sanitary  terminal,"['Packaged Terminal Air-Conditioners'
 'Packaged Terminal Air-Conditioners, Through-Wall Units'
 'Packaged Terminal Air-Conditioners, Outdoor, Wall-Mounted Units']","['Sanitary facility for the environment' 'Inner conclusion'
 'Storage device']",[4331 4332 4334],[273 185 245]
84,stack  terminal,"['Library Stack Systems' 'Breechings, Chimneys, and Stacks'
 'Fabricated Stacks']",['Inner conclusion' 'Storage device' 'Production system storage'],[2883 4178 4185],[185 245 195]
85,waste  terminal,"['Waste Receptacles' 'Waste Containment'
 'Hazardous Waste and Medical Waste Incinerators']","['Waste disposal facility for the environment' 'Inner conclusion'
 'Gas storage']",[3188  713 8336],[280 185 135]
86,conveyor  segment,['Conveyors' 'Conveyor Material Dryers' 'Pneumatic Conveyors'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[7470 7820 7447],[327 102 104]
87,liquid  terminal,['Liquid Evaporators' 'Liquid Homogenizers' 'Liquid Deaerators'],['Inner conclusion' 'Storage device' 'Mobile device'],[7921 7932 7918],[185 245 287]
88,marine  facility,['Marine Dredging' 'Marine Coatings' 'Marine Construction and Equipment'],"['Sanitary facility for the environment' 'medical facilities'
 'Sports facility']",[6689 2403 6827],[273 219 232]
89,marine  part,['Marine Dredging' 'Spare Parts' 'Marine Coatings'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[6689  513 2403],[187   3 115]
90,mooring  device,['Mooring Devices' 'Mooring Buoys' 'Quick-Release Mooring Hooks'],['Device for treatment' 'Storage device' 'Mobile device'],[6852 6849 6853],[215 245 287]
91,navigation  element,['Navigation Buoys' 'Marine Navigation Equipment' 'Element Screens'],"['Water installation element' 'Special component'
 'Element to inclined roof']",[6851 6715 8491],[127 187 168]
92,task,['Project Coordination' 'Project Directory' 'Project Identification'],['Hand change tax' 'Advice on planning' 'Artistically designed component'],[325   2 461],[  4 299 291]
93,work  control,['Work Restrictions' 'Scheduling of Work' 'Work Sequence'],['Provisional work management' 'working space' 'Recreation system control'],[281 336 279],[ 24  17 235]
94,alignment,['Nuclear Fuel Fusion Reactors' 'Bonds' 'Bond Forms'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8731  510  173],[327 102 104]
95,alignment  cant,['Bank Casework' 'Gabion Bank Protection' 'Riprap Bank Protection'],['Gear' 'Roof inclined' 'Element to inclined roof'],[3115 6803 6804],[147 165 168]
96,alignment  horizontal,"['Communications Horizontal Cabling'
 'Audio-Video Communications Horizontal Cabling'
 'Steam Horizontal Reciprocating Pumps']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[4767 4775 7999],[327 102 104]
97,alignment  segment,"['End Sections for Stormwater Piping'
 'Reinforced Concrete Box Sections for Sewers and Culverts'
 'Concrete End Sections for Stormwater Piping']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6202 5994 6206],[327 102 104]
98,alignment  vertical,"['Vertical Centrifugal Pumps' 'Vertical Metal Ladders'
 'Steam Vertical Reciprocating Pumps']",['Vertical greening' 'VAT' 'Cold source'],[7954 1142 8004],[259 327 110]
99,annotation,['Clarification Notices' 'Pavement Markings' 'Notice to Proceed'],['Floor marking' 'Rainwater line' 'Gas line'],[ 308 5721  171],[268  34  35]
100,bridge,['Bridge Cabling' 'Bridge Machinery' 'Bridge Demolition'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[1097 6668  663],[327 102 104]
101,bridge  part,['Spare Parts' 'Bridge Cabling' 'Bridge Machinery'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 1097 6668],[187   3 115]
102,building,['Building Modules' 'Building Demolition' 'Metal Building Systems'],['Commissioning building' 'Provisional building' 'Building acquisition'],[3447  661 3430],[318  25   2]
103,building  storey,['Building Modules' 'Building Demolition' 'Metal Building Systems'],['Commissioning building' 'Provisional building' 'Building acquisition'],[3447  661 3430],[318  25   2]
104,built  element,['Building Modules' 'Building Demolition' 'Metal Building Systems'],"['Recreation system built in' 'Commissioning building'
 'Provisional building']",[3447  661 3430],[236 318  25]
105,built  system,['Metal Building Systems' 'Building Modules' 'Building Demolition'],['Recreation system built in' 'Commissioning building' 'System roof'],[3430 3447  661],[236 318 166]
106,civil  element,"['Element Screens' 'Specialty Element Construction'
 'Irrigation Components']",['Civil engineer' 'Water installation element' 'Special component'],[8491 3365 5807],[294 127 187]
107,distribution  element,"['Medium-Voltage Electrical Distribution'
 'Schedules for Medium-Voltage Electrical Distribution' 'Element Screens']","['Water distribution' 'Production system distribution'
 'Water installation element']",[4555 4521 8491],[125 196 127]
108,element,"['Element Screens' 'Specialty Element Construction'
 'Irrigation Components']","['Water installation element' 'Special component'
 'Element to inclined roof']",[8491 3365 5807],[127 187 168]
109,element  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4610 1949 1950],[127 187 168]
110,external spatial  element,"['External Ice-on-Coil Thermal Storage' 'External Regeneration Systems'
 'Information Interfaces to Other External Subsystems']","['External heat insulation system' 'Water installation element'
 'Outside wall construction']",[4294 8128 5229],[153 127  61]
111,external spatial structure  element,"['Deadend Structures' 'Structure Demolition'
 'Single-Walled Air-Supported Structures']","['Small structure' 'Outside wall construction'
 'External heat insulation system']",[6361  660 3410],[252  61 153]
112,facility,"['Facility Fuel-Oil Pumps' 'Facility Decommissioning'
 'Facility Fuel Pumps']","['Sanitary facility for the environment' 'medical facilities'
 'Sports facility']",[4047  574 4046],[273 219 232]
113,facility  part,"['Spare Parts' 'Special Facility Components'
 'Schedules for Special Facility Components']","['Sanitary facility for the environment' 'medical facilities'
 'Special component']",[ 513 3347 3329],[273 219 187]
114,facility part  common,"['Spare Parts' 'Common Motor Requirements for Equipment'
 'Common Motor Requirements for HVAC Equipment']","['Sanitary facility for the environment' 'medical facilities'
 'Special component']",[ 513 2736 3974],[273 219 187]
115,feature  element,"['Element Screens' 'Specialty Element Construction'
 'Irrigation Components']","['Water installation element' 'Special component'
 'Element to inclined roof']",[8491 3365 5807],[127 187 168]
116,feature element  addition,"['Element Screens' 'Specialty Element Construction'
 'Irrigation Components']","['Water installation element' 'Special component'
 'Element to inclined roof']",[8491 3365 5807],[127 187 168]
117,feature element  subtraction,"['Element Screens' 'Specialty Element Construction'
 'Irrigation Components']","['Water installation element' 'Special component'
 'Element to inclined roof']",[8491 3365 5807],[127 187 168]
118,furnishing  element,['Furnishings' 'Furnishing Accessories' 'Schedules for Furnishings'],"['Furnishing for material preparation' 'Water installation element'
 'Water supply']",[3032 3181 3044],[ 19 127 122]
119,geographic  element,"['Element Screens' 'Specialty Element Construction'
 'Irrigation Components']","['Water installation element' 'Special component'
 'Element to inclined roof']",[8491 3365 5807],[127 187 168]
120,grid,['Suspended Decorative Grids' 'Tree Grids' 'Entrance Floor Grids'],['Storage device' 'Production system storage' 'Laboratory system storage'],[2237 5849 3195],[245 195 200]
121,impact protection  device,"['Impact Resistant Wall Protection' 'Impact Attenuating Devices'
 'Utility Impact Moling']",['Protection system to roof' 'Perimeter protection' 'Device for treatment'],[2546 6635 5933],[169 276 215]
122,linear  element,"['Linear Metal Ceilings' 'Linear Actuators and Positioners'
 'Linear Heat Detection Sensors']",['Water installation element' 'Element to flat roof' 'Special component'],[2233 7389 5138],[127 167 187]
123,linear positioning  element,"['Linear Metal Ceilings' 'Video Surveillance Positioning Equipment'
 'Linear Actuators and Positioners']",['Water installation element' 'Element to flat roof' 'Special component'],[2233 5073 7389],[127 167 187]
124,opening  element,['Openings' 'Schedules for Openings' 'Commissioning of Openings'],"['Water installation element' 'Special component'
 'Element to inclined roof']",[1698 1767 1780],[127 187 168]
125,port,['Gun Ports' 'Operator Interface Terminals (OIT)' 'Contract Interface'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[3021 7195  280],[327 102 104]
126,positioning  element,"['Video Surveillance Positioning Equipment' 'Position Instruments'
 'Position and Motion Measurement']","['Water installation element' 'Special component'
 'Element to inclined roof']",[5073 4029 7351],[127 187 168]
127,projection  element,"['Projection Screens' 'Portable Projection Screens'
 'Fixed Projection Screens']","['Water installation element' 'Special component'
 'Element to inclined roof']",[2886 2888 2887],[127 187 168]
128,referent,"['Electrical Power Generation Voltage Test Equipment'
 'Broadcast, Theater, and Stage Equipment' 'Curtain Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[8773 2921 2927],[327 102 104]
129,site,['Site Containment' 'Site Maintenance' 'Site Improvements'],['Construction site organization' 'Construction site closure' 'Post'],[ 712  491 5747],[21 15 46]
130,space,['Space Frames' 'Metal Space Frames' 'Interior Public Space Furnishings'],['working space' 'Construction site organization' 'Property acquisition'],[3414 3415 3304],[17 21  0]
131,spatial  element,"['Element Screens' 'Specialty Element Construction'
 'Irrigation Components']","['Water installation element' 'Special component'
 'Element to inclined roof']",[8491 3365 5807],[127 187 168]
132,spatial structure  element,"['Deadend Structures' 'Structure Demolition'
 'Single-Walled Air-Supported Structures']",['Small structure' 'Water installation element' 'Special component'],[6361  660 3410],[252 127 187]
133,spatial  zone,"['Reduced-Pressure Zone Backflow Preventers for Process Service'
 'Partitions' 'Demountable Partitions']",['Movable partition' 'Firm partition' 'District heating line'],[6976 2519 2523],[171 170  30]
134,system,['Audio-Video Systems' 'Fire-Extinguishing Systems' 'Foam-Water Systems'],['System roof' 'Parking system' 'System integration'],[4851 3638 3636],[166 242  92]
135,transportation  device,"['Transportation' 'Transportation Equipment'
 'Schedules for Transportation']","['Medical means of transportation' 'Material transport system'
 'Transport system for the environment']",[6473 6654 6487],[223 243 275]
136,transport  element,"['Transportation' 'Transportation Equipment'
 'Schedules for Transportation']","['Material transport system' 'Transport system for the environment'
 'Water installation element']",[6473 6654 6487],[243 275 127]
137,vehicle,['Vehicle Delineators' 'Vehicle Barriers' 'Vehicle Turntables'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6636 6629 3560],[327 102 104]
138,vibration  damper,"['Bridge Vibration Dampers' 'Tuned-Mass Bridge Vibration Dampers'
 'Vibration Monitoring Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6677 6679 7355],[327 102 104]
139,virtual  element,"['Virtual Reality Equipment' 'Virtual Private Network Software'
 'Element Screens']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4808 4818 8491],[127 187 168]
140,zone,"['Reduced-Pressure Zone Backflow Preventers for Process Service'
 'Partitions' 'Demountable Partitions']",['Movable partition' 'Firm partition' 'District heating line'],[6976 2519 2523],[171 170  30]
141,arbitrary closed profile de f,"['Dual-Wall Polyvinyl Chloride Profile Pipe' 'Profile Board Paneling'
 'Folding Doors']","['Inner conclusion' 'Smoke and heat treatment plant'
 'Electro acoustic loudspeaker system']",[5965 1296 1884],[185 102 103]
142,arbitrary profile def with  voids,"['Dual-Wall Polyvinyl Chloride Profile Pipe' 'Vacuum Degasifiers'
 'Gas-handling Vacuum Pumps']",['Lifting' 'Lifting device' 'VAT'],[5965 8137 7873],[ 18 148 327]
143,profile de f,"['Dual-Wall Polyvinyl Chloride Profile Pipe' 'Profile Board Paneling'
 'Curved Profile Ceiling Suspension Assemblies']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[5965 1296 2226],[327 102 104]
144,rail,['Rail Vehicles' 'Bumper Rails' 'Rail Network Equipment'],['Heat train investment share' 'Gear' 'VAT'],[7725 2543 6577],[109 147 327]
145,railway,['Railway Equipment' 'Railway Embankments' 'Railway Construction'],['Rainwater line' 'Gas line' 'Power line'],[6652 5343 6639],[34 35 28]
146,railway  part,['Spare Parts' 'Railway Equipment' 'Railway Embankments'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 6652 5343],[187   3 115]
147,track  element,['Direct-Fixation Track' 'Monorail Track' 'Track Rails'],"['Water installation element' 'Special component'
 'Element to inclined roof']",[6509 6530 6499],[127 187 168]
