Classifications,Property Names,Property Types
IfcElectricMotor,HasPartWinding,"['TRUE', 'FALSE']"
IfcElectricMotor,IsGuarded,"['TRUE', 'FALSE']"
IfcElectricMotor,LockedRotorCurrent,real
IfcElectricMotor,MaximumPowerOutput,real
IfcElectricMotor,MotorEnclosureType,"['NOTKNOWN', 'OPENDRIPPROOF', 'OTHER', 'TOTALLYENCLOSEDAIROVER', 'TOTALLYENCLOSEDFANCOOLED', 'TOTALLYENCLOSEDNONVENTILATED', 'UNSET']"
IfcElectricMotor,Reference,string
IfcElectricMotor,StartCurrentFactor,real
IfcElectricMotor,StartingTime,real
IfcElectricMotor,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcElectricMotor,TeTime,real
IfcElectricMotor,GrossWeight,real
IfcElectricTimeControl,Reference,string
IfcElectricTimeControl,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcElectricTimeControl,GrossWeight,real
IfcJunctionBox,ClearDepth,real
IfcJunctionBox,IP_Code,string
IfcJunctionBox,IsExternal,"['TRUE', 'FALSE']"
IfcJunctionBox,JunctionBoxMountingType,"['CUT_IN', 'FACENAIL', 'NOTKNOWN', 'OTHER', 'SIDENAIL', 'UNSET']"
IfcJunctionBox,NominalHeight,real
IfcJunctionBox,NominalLength,real
IfcJunctionBox,NominalWidth,real
IfcJunctionBox,PlacingType,"['CEILING', 'FLOOR', 'NOTKNOWN', 'OTHER', 'UNSET', 'WALL']"
IfcJunctionBox,Reference,string
IfcJunctionBox,ShapeType,"['NOTKNOWN', 'OTHER', 'RECTANGULAR', 'ROUND', 'SLOT', 'UNSET']"
IfcJunctionBox,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcJunctionBox,GrossWeight,real
IfcJunctionBox,Height,real
IfcJunctionBox,Length,real
IfcJunctionBox,NumberOfGangs,real
IfcJunctionBox,Width,real
IfcLamp,ColourAppearance,string
IfcLamp,ColourTemperature,real
IfcLamp,ContributedLuminousFlux,real
IfcLamp,LampBallastType,"['CONVENTIONAL', 'ELECTRONIC', 'LOWLOSS', 'NOTKNOWN', 'OTHER', 'RESISTOR', 'UNSET']"
IfcLamp,LampCompensationType,"['CAPACITIVE', 'INDUCTIVE', 'NOTKNOWN', 'OTHER', 'UNSET']"
IfcLamp,LampMaintenanceFactor,real
IfcLamp,LightEmitterNominalPower,real
IfcLamp,Reference,string
IfcLamp,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcLamp,GrossWeight,real
IfcLightFixture,LightFixtureMountingType,"['CABLESPANNED', 'FREESTANDING', 'NOTKNOWN', 'OTHER', 'POLE_SIDE', 'POLE_TOP', 'RECESSED', 'SURFACE', 'SUSPENDED', 'TRACKMOUNTED', 'UNSET']"
IfcLightFixture,LightFixturePlacingType,"['CEILING', 'FLOOR', 'FURNITURE', 'NOTKNOWN', 'OTHER', 'POLE', 'UNSET', 'WALL']"
IfcLightFixture,MaintenanceFactor,real
IfcLightFixture,MaximumPlenumSensibleLoad,real
IfcLightFixture,MaximumSpaceSensibleLoad,real
IfcLightFixture,Reference,string
IfcLightFixture,SensibleLoadToRadiant,real
IfcLightFixture,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcLightFixture,TotalWattage,real
IfcLightFixture,GrossWeight,real
IfcMobileTelecommunicationsAppliance,Reference,string
IfcMobileTelecommunicationsAppliance,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcMotorConnection,Reference,string
IfcMotorConnection,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcMotorConnection,GrossWeight,real
IfcOutlet,IsPluggableOutlet,"['TRUE', 'FALSE', 'UNKNOWN']"
IfcOutlet,Reference,string
IfcOutlet,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcOutlet,GrossWeight,real
IfcProtectiveDevice,NominalCurrent,real
IfcProtectiveDevice,VoltageLevel,"['NOTKNOWN', 'OTHER', 'U1000', 'U230', 'U400', 'U440', 'U525', 'U690', 'UNSET']"
IfcProtectiveDevice,VoltageLevel,"['NOTKNOWN', 'OTHER', 'U1000', 'U230', 'U400', 'U440', 'U525', 'U690', 'UNSET']"
IfcProtectiveDevice,NominalCurrent,real
IfcProtectiveDevice,VoltageLevel,"['NOTKNOWN', 'OTHER', 'U1000', 'U230', 'U400', 'U440', 'U525', 'U690', 'UNSET']"
IfcProtectiveDevice,ICM60947,real
IfcProtectiveDevice,ICS60947,real
IfcProtectiveDevice,ICU60947,real
IfcProtectiveDevice,ICW60947,real
IfcProtectiveDevice,VoltageLevel,"['NOTKNOWN', 'OTHER', 'U1000', 'U230', 'U400', 'U440', 'U525', 'U690', 'UNSET']"
IfcProtectiveDevice,GroundFaultCurrentSetValue,real
IfcProtectiveDevice,GroundFaultFunction,"['TRUE', 'FALSE']"
IfcProtectiveDevice,GroundFaulti2tFunction,"['TRUE', 'FALSE']"
IfcProtectiveDevice,GroundFaultTrippingTime,real
IfcProtectiveDevice,InstantaneousCurrentSetValue,real
IfcProtectiveDevice,InstantaneousTrippingTime,real
IfcProtectiveDevice,LongTimeCurrentSetValue,real
IfcProtectiveDevice,LongTimeDelay,real
IfcProtectiveDevice,LongTimeFunction,"['TRUE', 'FALSE']"
IfcProtectiveDevice,PoleUsage,"['1P', '1PN', '2P', '3P', '3PN', '4P', 'NOTKNOWN', 'OTHER', 'UNSET']"
IfcProtectiveDevice,ShortTimeCurrentSetValue,real
IfcProtectiveDevice,ShortTimeFunction,"['TRUE', 'FALSE']"
IfcProtectiveDevice,ShortTimei2tFunction,"['TRUE', 'FALSE']"
IfcProtectiveDevice,ShortTimeTrippingTime,real
IfcProtectiveDevice,TrippingCurveType,"['LOWER', 'NOTKNOWN', 'OTHER', 'UNSET', 'UPPER']"
IfcProtectiveDevice,Reference,string
IfcProtectiveDevice,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcProtectiveDevice,GrossWeight,real
IfcProtectiveDeviceTrippingUnit,CurrentTolerance1,real
IfcProtectiveDeviceTrippingUnit,CurrentTolerance2,real
IfcProtectiveDeviceTrippingUnit,CurrentToleranceLimit1,real
IfcProtectiveDeviceTrippingUnit,ExternalAdjusted,"['TRUE', 'FALSE']"
IfcProtectiveDeviceTrippingUnit,IsCurrentTolerancePositiveOnly,"['TRUE', 'FALSE']"
IfcProtectiveDeviceTrippingUnit,IsSelectable,"['TRUE', 'FALSE']"
IfcProtectiveDeviceTrippingUnit,IsTimeTolerancePositiveOnly,"['TRUE', 'FALSE']"
IfcProtectiveDeviceTrippingUnit,NominalCurrentAdjusted,"['TRUE', 'FALSE']"
IfcProtectiveDeviceTrippingUnit,ReleaseCurrent,real
IfcProtectiveDeviceTrippingUnit,ReleaseCurrentI2tEnd,real
IfcProtectiveDeviceTrippingUnit,ReleaseCurrentI2tStart,real
IfcProtectiveDeviceTrippingUnit,ReleaseTime,real
IfcProtectiveDeviceTrippingUnit,ReleaseTimeI2tEnd,real
IfcProtectiveDeviceTrippingUnit,ReleaseTimeI2tStart,real
IfcProtectiveDeviceTrippingUnit,TimeTolerance1,real
IfcProtectiveDeviceTrippingUnit,TimeTolerance2,real
IfcProtectiveDeviceTrippingUnit,TimeToleranceLimit1,real
IfcProtectiveDeviceTrippingUnit,CurrentTolerance1,real
IfcProtectiveDeviceTrippingUnit,CurrentTolerance2,real
IfcProtectiveDeviceTrippingUnit,CurrentToleranceLimit1,real
IfcProtectiveDeviceTrippingUnit,IsCurrentTolerancePositiveOnly,"['TRUE', 'FALSE']"
IfcProtectiveDeviceTrippingUnit,IsOffWhenSFunctionOn,"['TRUE', 'FALSE']"
IfcProtectiveDeviceTrippingUnit,IsSelectable,"['TRUE', 'FALSE']"
IfcProtectiveDeviceTrippingUnit,IsTimeTolerancePositiveOnly,"['TRUE', 'FALSE']"
IfcProtectiveDeviceTrippingUnit,MaxAdjustmentX_ICS,real
IfcProtectiveDeviceTrippingUnit,NominalCurrentAdjusted,"['TRUE', 'FALSE']"
IfcProtectiveDeviceTrippingUnit,ReleaseCurrent,real
IfcProtectiveDeviceTrippingUnit,ReleaseTime,real
IfcProtectiveDeviceTrippingUnit,TimeTolerance1,real
IfcProtectiveDeviceTrippingUnit,TimeTolerance2,real
IfcProtectiveDeviceTrippingUnit,TimeToleranceLimit1,real
IfcProtectiveDeviceTrippingUnit,IsSelectable,"['TRUE', 'FALSE']"
IfcProtectiveDeviceTrippingUnit,LowerCurrent1,real
IfcProtectiveDeviceTrippingUnit,LowerCurrent2,real
IfcProtectiveDeviceTrippingUnit,LowerTime1,real
IfcProtectiveDeviceTrippingUnit,LowerTime2,real
IfcProtectiveDeviceTrippingUnit,UpperCurrent1,real
IfcProtectiveDeviceTrippingUnit,UpperCurrent2,real
IfcProtectiveDeviceTrippingUnit,UpperTime1,real
IfcProtectiveDeviceTrippingUnit,UpperTime2,real
IfcProtectiveDeviceTrippingUnit,CurrentTolerance1,real
IfcProtectiveDeviceTrippingUnit,CurrentTolerance2,real
IfcProtectiveDeviceTrippingUnit,CurrentToleranceLimit1,real
IfcProtectiveDeviceTrippingUnit,IsCurrentTolerancePositiveOnly,"['TRUE', 'FALSE']"
IfcProtectiveDeviceTrippingUnit,IsOffWhenLfunctionOn,"['TRUE', 'FALSE']"
IfcProtectiveDeviceTrippingUnit,IsSelectable,"['TRUE', 'FALSE']"
IfcProtectiveDeviceTrippingUnit,IsTimeTolerancePositiveOnly,"['TRUE', 'FALSE']"
IfcProtectiveDeviceTrippingUnit,NominalCurrentAdjusted,"['TRUE', 'FALSE']"
IfcProtectiveDeviceTrippingUnit,ReleaseCurrent,real
IfcProtectiveDeviceTrippingUnit,ReleaseCurrentI2tEnd,real
IfcProtectiveDeviceTrippingUnit,ReleaseCurrentI2tStart,real
IfcProtectiveDeviceTrippingUnit,ReleaseTime,real
IfcProtectiveDeviceTrippingUnit,ReleaseTimeI2tEnd,real
IfcProtectiveDeviceTrippingUnit,ReleaseTimeI2tStart,real
IfcProtectiveDeviceTrippingUnit,TimeTolerance1,real
IfcProtectiveDeviceTrippingUnit,TimeTolerance2,real
IfcProtectiveDeviceTrippingUnit,TimeToleranceLimit1,real
IfcProtectiveDeviceTrippingUnit,AdjustmentDesignation,string
IfcProtectiveDeviceTrippingUnit,AdjustmentValueType,"['LIST', 'RANGE']"
IfcProtectiveDeviceTrippingUnit,CurrentAdjustmentRangeStepValue,real
IfcProtectiveDeviceTrippingUnit,AdjustmentDesignation,string
IfcProtectiveDeviceTrippingUnit,AdjustmentValueType,"['LIST', 'RANGE']"
IfcProtectiveDeviceTrippingUnit,CurrentForTimeDelay,real
IfcProtectiveDeviceTrippingUnit,I2TApplicability,"['LIST', 'RANGE']"
IfcProtectiveDeviceTrippingUnit,TimeAdjustmentRangeStepValue,real
IfcProtectiveDeviceTrippingUnit,AtexVerified,"['TRUE', 'FALSE']"
IfcProtectiveDeviceTrippingUnit,LimitingTerminalSize,real
IfcProtectiveDeviceTrippingUnit,OldDevice,"['TRUE', 'FALSE']"
IfcProtectiveDeviceTrippingUnit,Reference,string
IfcProtectiveDeviceTrippingUnit,Standard,string
IfcProtectiveDeviceTrippingUnit,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcProtectiveDeviceTrippingUnit,UseInDiscrimination,"['TRUE', 'FALSE']"
IfcProtectiveDeviceTrippingUnit,GrossWeight,real
IfcSolarDevice,Reference,string
IfcSolarDevice,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcSolarDevice,GrossArea,real
IfcSolarDevice,GrossWeight,real
IfcSwitchingDevice,HasLock,"['TRUE', 'FALSE']"
IfcSwitchingDevice,IsIlluminated,"['TRUE', 'FALSE']"
IfcSwitchingDevice,Legend,string
IfcSwitchingDevice,Reference,string
IfcSwitchingDevice,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcSwitchingDevice,SwitchFunction,"['DOUBLETHROWSWITCH', 'INTERMEDIATESWITCH', 'NOTKNOWN', 'ONOFFSWITCH', 'OTHER', 'UNSET']"
IfcSwitchingDevice,GrossWeight,real
IfcTransformer,ImaginaryImpedanceRatio,real
IfcTransformer,IsNeutralPrimaryTerminalAvailable,"['TRUE', 'FALSE']"
IfcTransformer,IsNeutralSecondaryTerminalAvailable,"['TRUE', 'FALSE']"
IfcTransformer,MaximumApparentPower,real
IfcTransformer,PrimaryApparentPower,real
IfcTransformer,PrimaryCurrent,real
IfcTransformer,PrimaryFrequency,real
IfcTransformer,PrimaryVoltage,real
IfcTransformer,RealImpedanceRatio,real
IfcTransformer,Reference,string
IfcTransformer,SecondaryApparentPower,real
IfcTransformer,SecondaryCurrent,real
IfcTransformer,SecondaryCurrentType,"['AC', 'DC', 'NOTKNOWN', 'UNSET']"
IfcTransformer,SecondaryFrequency,real
IfcTransformer,SecondaryVoltage,real
IfcTransformer,ShortCircuitVoltage,real
IfcTransformer,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcTransformer,TransformerVectorGroup,"['DD0', 'DD6', 'DY11', 'DY5', 'DZ0', 'DZ6', 'NOTKNOWN', 'OTHER', 'UNSET', 'YD11', 'YD5', 'YY0', 'YY6', 'YZ11', 'YZ5']"
IfcTransformer,GrossWeight,real
IfcAirTerminal,AirFlowRate,real
IfcAirTerminal,AirFlowType,"['EXHAUSTAIR', 'NOTKNOWN', 'OTHER', 'RETURNAIR', 'SUPPLYAIR', 'UNSET']"
IfcAirTerminal,AirTerminalLocation,"['CEILINGINTERIOR', 'CEILINGPERIMETER', 'FLOOR', 'NOTKNOWN', 'OTHER', 'SIDEWALLHIGH', 'SIDEWALLLOW', 'SILL', 'UNSET']"
IfcAirTerminal,AirDiffusionPerformanceIndex,real
IfcAirTerminal,AirTerminalMountingType,"['FLATFLUSH', 'LAYIN', 'NOTKNOWN', 'OTHER', 'SURFACE', 'UNSET']"
IfcAirTerminal,AirTerminalShape,"['NOTKNOWN', 'OTHER', 'RECTANGULAR', 'ROUND', 'SLOT', 'SQUARE', 'UNSET']"
IfcAirTerminal,CoreSetHorizontal,real
IfcAirTerminal,CoreSetVertical,real
IfcAirTerminal,CoreType,"['CURVEDBLADE', 'NONE', 'NOTKNOWN', 'OTHER', 'REMOVABLE', 'REVERSIBLE', 'SHUTTERBLADE', 'UNSET']"
IfcAirTerminal,DischargeDirection,"['ADJUSTABLE', 'NOTKNOWN', 'OTHER', 'PARALLEL', 'PERPENDICULAR', 'UNSET']"
IfcAirTerminal,EffectiveArea,real
IfcAirTerminal,FaceType,"['DOUBLEDEFLECTION', 'EGGCRATE', 'FOURWAYPATTERN', 'LOUVERED', 'NOTKNOWN', 'OTHER', 'PERFORATED', 'SIGHTPROOF', 'SINGLEDEFLECTION', 'UNSET']"
IfcAirTerminal,FinishColour,string
IfcAirTerminal,FinishType,"['ANNODIZED', 'NONE', 'NOTKNOWN', 'OTHER', 'PAINTED', 'UNSET']"
IfcAirTerminal,FlowControlType,"['BELLOWS', 'DAMPER', 'NONE', 'NOTKNOWN', 'OTHER', 'UNSET']"
IfcAirTerminal,FlowPattern,"['COMPACTJET', 'DISPLACMENT', 'LINEARDOUBLE', 'LINEARFOURWAY', 'LINEARSINGLE', 'NOTKNOWN', 'OTHER', 'RADIAL', 'SWIRL', 'UNSET']"
IfcAirTerminal,HasIntegralControl,"['TRUE', 'FALSE']"
IfcAirTerminal,HasSoundAttenuator,"['TRUE', 'FALSE']"
IfcAirTerminal,HasThermalInsulation,"['TRUE', 'FALSE']"
IfcAirTerminal,NeckArea,real
IfcAirTerminal,Reference,string
IfcAirTerminal,SlotLength,real
IfcAirTerminal,SlotWidth,real
IfcAirTerminal,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcAirTerminal,ThrowLength,real
IfcAirTerminal,GrossWeight,real
IfcAirTerminal,Perimeter,real
IfcAirTerminal,TotalSurfaceArea,real
IfcAirTerminalBox,ArrangementType,"['DUALDUCT', 'NOTKNOWN', 'OTHER', 'SINGLEDUCT', 'UNSET']"
IfcAirTerminalBox,HasFan,"['TRUE', 'FALSE']"
IfcAirTerminalBox,HasReturnAir,"['TRUE', 'FALSE']"
IfcAirTerminalBox,HasSoundAttenuator,"['TRUE', 'FALSE']"
IfcAirTerminalBox,HousingThickness,real
IfcAirTerminalBox,NominalAirFlowRate,real
IfcAirTerminalBox,NominalDamperDiameter,real
IfcAirTerminalBox,NominalInletAirPressure,real
IfcAirTerminalBox,Reference,string
IfcAirTerminalBox,ReheatType,"['ELECTRICALREHEAT', 'GASREHEAT', 'NONE', 'NOTKNOWN', 'OTHER', 'STEAMCOILREHEAT', 'UNSET', 'WATERCOILREHEAT']"
IfcAirTerminalBox,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcAirTerminalBox,GrossWeight,real
IfcAirToAirHeatRecovery,HasDefrost,"['TRUE', 'FALSE']"
IfcAirToAirHeatRecovery,HeatTransferTypeEnum,"['LATENT', 'NOTKNOWN', 'OTHER', 'SENSIBLE', 'UNSET']"
IfcAirToAirHeatRecovery,Reference,string
IfcAirToAirHeatRecovery,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcAirToAirHeatRecovery,GrossWeight,real
