,raw,code,word,Translated_Text
48,B07.04 Sicherung Bauwerk;B07.04;Sicherung;Bauwerk;;;;;Sicherung Bauwerk,B07.04,Sicherung Bauwerk,Securing building
49,B08.01 Fassadengerüst;B08.01;Fassadengerüst;;;;;;Fassadengerüst,B08.01,Fassadengerüst,Facade framework
50,B08.02 Arbeitsgerüst;B08.02;Arbeitsgerüst;;;;;;Arbeitsgerüst,B08.02,Arbeitsgerüst,Scaffolding
51,B08.03 Notdach;B08.03;Notdach;;;;;;Notdach,B08.03,Notdach,Emergency roof
52,B08.04 Schutzgerüst;B08.04;Schutzgerüst;;;;;;Schutzgerüst,B08.04,Schutzgerüst,Scaffolding
53,B09.01 Bauliche Anpassung angrenzendes Bauwerk;B09.01;Bauliche;Anpassung;angrenzendes;Bauwerk;;;Bauliche Anpassung angrenzendes Bauwerk,B09.01,Bauliche Anpassung angrenzendes Bauwerk,Structural adaptation adjacent building
54,B09.02 Unterfangung,B09.02,Unterfangung,Undercamation
55,B09.03 Verkehrsanlage ausserhalb Grundstück;B09.03;Verkehrsanlage;ausserhalb;Grundstück;;;;Verkehrsanlage ausserhalb Grundstück,B09.03,Verkehrsanlage ausserhalb Grundstück,Traffic plant outside property
56,C01.01 Unterbau Fundament,C01.01,Unterbau Fundament,Substructure foundation
57,C01.02 Fundament;C01.02;Fundament;;;;;;Fundament,C01.02,Fundament,foundation
58,C01.03 Bodenplatte;C01.03;Bodenplatte;;;;;;Bodenplatte,C01.03,Bodenplatte,Base plate
59,C01.04 Erdverbundene Treppe,C01.04,Erdverbundene Treppe,Tied stairs
60,C01.05 Erdverbundenes Podest;C01.05;Erdverbundenes;Podest;;;;;Erdverbundenes Podest,C01.05,Erdverbundenes Podest,Earth connected podium
61,C02.01 Aussenwandkonstruktion;C02.01;Aussenwandkonstruktion;;;;;;Aussenwandkonstruktion,C02.01,Aussenwandkonstruktion,Outside wall construction
62,C02.02 Innenwandkonstruktion;C02.02;Innenwandkonstruktion;;;;;;Innenwandkonstruktion,C02.02,Innenwandkonstruktion,Interior wall construction
63,C03.01 Aussenstütze;C03.01;Aussenstütze;;;;;;Aussenstütze,C03.01,Aussenstütze,Outer support
64,C03.02 Innenstütze;C03.02;Innenstütze;;;;;;Innenstütze,C03.02,Innenstütze,Interior support
65,C04.01 Geschossdecke;C04.01;Geschossdecke;;;;;;Geschossdecke,C04.01,Geschossdecke,Storey blanket
66,C04.02 Innen liegende Treppe,C04.02,Innen liegende Treppe,Inside stairs
67,C04.03 Innen liegendes Podest;C04.03;Innen;liegendes;Podest;;;;Innen liegendes Podest,C04.03,Innen liegendes Podest,Inside podium
68,C04.04 Konstruktion Flachdach;C04.04;Konstruktion;Flachdach;;;;;Konstruktion Flachdach,C04.04,Konstruktion Flachdach,Construction of flat roof
69,C04.05 Konstruktion geneigtes Dach;C04.05;Konstruktion;geneigtes;Dach;;;;Konstruktion geneigtes Dach,C04.05,Konstruktion geneigtes Dach,Construction inclined roof
70,C04.06 Aussen liegende Treppe,C04.06,Aussen liegende Treppe,Stairs lying outside
71,C04.07 Aussen liegendes Podest;C04.07;Aussen;liegendes;Podest;;;;Aussen liegendes Podest,C04.07,Aussen liegendes Podest,Podest lying outside
72,C04.08 Aussen liegende Konstruktion,C04.08,Aussen liegende Konstruktion,Lying on the outside
73,C05.01 Durchbruch,C05.01,Durchbruch,breakthrough
74,C05.02 Maschinensockel,C05.02,Maschinensockel,Machine
75,D01.01 Anlage Erzeugung Starkstrom;D01.01;Anlage;Erzeugung;Starkstrom;;;;Anlage Erzeugung Starkstrom,D01.01,Anlage Erzeugung Starkstrom,Appendix generation strong current
76,D01.02 Transformierung Starkstrom;D01.02;Transformierung;Starkstrom;;;;;Transformierung Starkstrom,D01.02,Transformierung Starkstrom,Transforming strong current
77,D01.03 Speicherung Starkstrom;D01.03;Speicherung;Starkstrom;;;;;Speicherung Starkstrom,D01.03,Speicherung Starkstrom,Storage strong current
78,D01.04 Installation Starkstrom;D01.04;Installation;Starkstrom;;;;;Installation Starkstrom,D01.04,Installation Starkstrom,Installation in power
79,D01.05 Verbraucher Starkstrom: Leuchten;D01.05;Verbraucher;Starkstrom:;Leuchten;;;;Verbraucher Starkstrom: Leuchten,D01.05,Verbraucher Starkstrom: Leuchten,Consumer strong current lights
80,D01.06 Verbraucher Starkstrom: Elektrogeräte;D01.06;Verbraucher;Starkstrom:;Elektrogeräte;;;;Verbraucher Starkstrom: Elektrogeräte,D01.06,Verbraucher Starkstrom: Elektrogeräte,Consumer strong current electrical appliances
81,D01.07 Anlage Erzeugung Schwachstrom;D01.07;Anlage;Erzeugung;Schwachstrom;;;;Anlage Erzeugung Schwachstrom,D01.07,Anlage Erzeugung Schwachstrom,Appendix production weak stream
82,D01.08 Transformierung Schwachstrom;D01.08;Transformierung;Schwachstrom;;;;;Transformierung Schwachstrom,D01.08,Transformierung Schwachstrom,Transformation weak stream
83,D01.09 Speicherung Schwachstrom;D01.09;Speicherung;Schwachstrom;;;;;Speicherung Schwachstrom,D01.09,Speicherung Schwachstrom,Storage of weak stream
84,D01.10 Installation Schwachstrom;D01.10;Installation;Schwachstrom;;;;;Installation Schwachstrom,D01.10,Installation Schwachstrom,Installation weak stream
85,D01.11 Verbraucher Schwachstrom;D01.11;Verbraucher;Schwachstrom;;;;;Verbraucher Schwachstrom,D01.11,Verbraucher Schwachstrom,Consumer weak stream
86,D02.01 Managementebene;D02.01;Managementebene;;;;;;Managementebene,D02.01,Managementebene,Management level
87,D02.02 Automationsebene;D02.02;Automationsebene;;;;;;Automationsebene,D02.02,Automationsebene,Automation level
88,D02.03 Feldebene;D02.03;Feldebene;;;;;;Feldebene,D02.03,Feldebene,Field level
89,D02.04 Raumautomation;D02.04;Raumautomation;;;;;;Raumautomation,D02.04,Raumautomation,Room automation
90,D02.05 Automationsnetzwerk;D02.05;Automationsnetzwerk;;;;;;Automationsnetzwerk,D02.05,Automationsnetzwerk,Automation network
91,D02.06 Schaltgerätekombination;D02.06;Schaltgerätekombination;;;;;;Schaltgerätekombination,D02.06,Schaltgerätekombination,Switching device combination
92,D02.07 Systemintegration;D02.07;Systemintegration;;;;;;Systemintegration,D02.07,Systemintegration,System integration
93,D03.01 Einbruchmeldeanlage,D03.01,Einbruchmeldeanlage,Burglary
94,D03.02 Zutrittskontrollanlage;D03.02;Zutrittskontrollanlage;;;;;;Zutrittskontrollanlage,D03.02,Zutrittskontrollanlage,Access control system
95,D03.03 Videoüberwachungsanlage;D03.03;Videoüberwachungsanlage;;;;;;Videoüberwachungsanlage,D03.03,Videoüberwachungsanlage,Video monitoring system
96,D03.04 Schliessanlage;D03.04;Schliessanlage;;;;;;Schliessanlage,D03.04,Schliessanlage,Locking system
97,D04.01 Brandmeldeanlage;D04.01;Brandmeldeanlage;;;;;;Brandmeldeanlage,D04.01,Brandmeldeanlage,Fire alarm system
98,D04.02 Gaswarnanlage;D04.02;Gaswarnanlage;;;;;;Gaswarnanlage,D04.02,Gaswarnanlage,Gas warning system
99,D04.03 Nasslöschanlage;D04.03;Nasslöschanlage;;;;;;Nasslöschanlage,D04.03,Nasslöschanlage,Wet extinguisher
100,D04.04 Trockenlöschanlage;D04.04;Trockenlöschanlage;;;;;;Trockenlöschanlage,D04.04,Trockenlöschanlage,Dry extinguish
101,D04.05 Löschgerät;D04.05;Löschgerät;;;;;;Löschgerät,D04.05,Löschgerät,Extinguishing device
102,D04.06 Rauch- und Wärmebehandlungsanlage;D04.06;Rauch-;und;Wärmebehandlungsanlage;;;;Rauch- und Wärmebehandlungsanlage,D04.06,Rauch- und Wärmebehandlungsanlage,Smoke and heat treatment plant
103,D04.07 Elektroakustische Lautsprecheranlage;D04.07;Elektroakustische;Lautsprecheranlage;;;;;Elektroakustische Lautsprecheranlage,D04.07,Elektroakustische Lautsprecheranlage,Electro acoustic loudspeaker system
104,D05.01 Wärmequelle,D05.01,Wärmequelle,Heat source
105,D05.02 Wärmeerzeugung;D05.02;Wärmeerzeugung;;;;;;Wärmeerzeugung,D05.02,Wärmeerzeugung,Heat generation
106,D05.03 Wärmespeicherung;D05.03;Wärmespeicherung;;;;;;Wärmespeicherung,D05.03,Wärmespeicherung,Heat storage
107,D05.04 Wärmeverteilung;D05.04;Wärmeverteilung;;;;;;Wärmeverteilung,D05.04,Wärmeverteilung,Heat distribution
108,D05.05 Wärmeabgabe;D05.05;Wärmeabgabe;;;;;;Wärmeabgabe,D05.05,Wärmeabgabe,Heat output
109,D05.06 Wärmebezug: Investitionsanteil;D05.06;Wärmebezug:;Investitionsanteil;;;;;Wärmebezug: Investitionsanteil,D05.06,Wärmebezug: Investitionsanteil,Heat train investment share
110,D06.01 Kältequelle,D06.01,Kältequelle,Cold source
111,D06.02 Kälteerzeugung;D06.02;Kälteerzeugung;;;;;;Kälteerzeugung,D06.02,Kälteerzeugung,Refrigeration
112,D06.03 Kältespeicherung;D06.03;Kältespeicherung;;;;;;Kältespeicherung,D06.03,Kältespeicherung,Cold storage
113,D06.04 Kälteverteilung;D06.04;Kälteverteilung;;;;;;Kälteverteilung,D06.04,Kälteverteilung,Cold distribution
114,D06.05 Kälteabgabe;D06.05;Kälteabgabe;;;;;;Kälteabgabe,D06.05,Kälteabgabe,Refrigeration
115,D06.06 Kältebezug: Investitionsanteil;D06.06;Kältebezug:;Investitionsanteil;;;;;Kältebezug: Investitionsanteil,D06.06,Kältebezug: Investitionsanteil,Colding Investment share
116,D07.01 Aussenluftversorgung,D07.01,Aussenluftversorgung,Outdoor air supply
117,D07.02 Luftaufbereitung;D07.02;Luftaufbereitung;;;;;;Luftaufbereitung,D07.02,Luftaufbereitung,Aerial preparation
118,D07.03 Luftwärmespeicherung;D07.03;Luftwärmespeicherung;;;;;;Luftwärmespeicherung,D07.03,Luftwärmespeicherung,Air heating storage
119,D07.04 Luftverteilung;D07.04;Luftverteilung;;;;;;Luftverteilung,D07.04,Luftverteilung,Air distribution
120,D07.05 Luftabgabe;D07.05;Luftabgabe;;;;;;Luftabgabe,D07.05,Luftabgabe,Air output
121,D07.06 Luft: Investitionsanteil;D07.06;Luft:;Investitionsanteil;;;;;Luft: Investitionsanteil,D07.06,Luft: Investitionsanteil,Air investment share
122,D08.01 Wasserversorgung;D08.01;Wasserversorgung;;;;;;Wasserversorgung,D08.01,Wasserversorgung,Water supply
123,D08.02 Wasserbehandlung;D08.02;Wasserbehandlung;;;;;;Wasserbehandlung,D08.02,Wasserbehandlung,Water treatment
124,D08.03 Wasserspeicher;D08.03;Wasserspeicher;;;;;;Wasserspeicher,D08.03,Wasserspeicher,watertank
125,D08.04 Wasserverteilung;D08.04;Wasserverteilung;;;;;;Wasserverteilung,D08.04,Wasserverteilung,Water distribution
126,D08.05 Wasser: Armatur,D08.05,Wasser: Armatur,Water tap
127,D08.06 Wasser: Installationselement;D08.06;Wasser:;Installationselement;;;;;Wasser: Installationselement,D08.06,Wasser: Installationselement,Water installation element
128,D09.01 Abwasserentsorgung;D09.01;Abwasserentsorgung;;;;;;Abwasserentsorgung,D09.01,Abwasserentsorgung,Wastewater disposal
129,D09.02 Abwasserbehandlung;D09.02;Abwasserbehandlung;;;;;;Abwasserbehandlung,D09.02,Abwasserbehandlung,Wastewater treatment
130,D09.03 Abwasserspeicher;D09.03;Abwasserspeicher;;;;;;Abwasserspeicher,D09.03,Abwasserspeicher,Wastewater memory
131,D09.04 Abwassersammlung;D09.04;Abwassersammlung;;;;;;Abwassersammlung,D09.04,Abwassersammlung,Wastewater collection
132,D09.05 Abwasser: Armatur,D09.05,Abwasser: Armatur,Wastewater fitting
133,D10.01 Gasversorgung;D10.01;Gasversorgung;;;;;;Gasversorgung,D10.01,Gasversorgung,Gas supply
134,D10.02 Gasbehandlung;D10.02;Gasbehandlung;;;;;;Gasbehandlung,D10.02,Gasbehandlung,Gas treatment
135,D10.03 Gasspeicherung;D10.03;Gasspeicherung;;;;;;Gasspeicherung,D10.03,Gasspeicherung,Gas storage
136,D10.04 Gasverteilung;D10.04;Gasverteilung;;;;;;Gasverteilung,D10.04,Gasverteilung,Gas distribution
137,D10.05 Gas: Armatur,D10.05,Gas: Armatur,Gas tap
138,D11.01 Spezialmedien: Versorgung,D11.01,Spezialmedien: Versorgung,Special media supply
139,D11.02 Spezialmedien: Aufbereitung;D11.02;Spezialmedien:;Aufbereitung;;;;;Spezialmedien: Aufbereitung,D11.02,Spezialmedien: Aufbereitung,Special media preparation
140,D11.03 Spezialmedien: Speicherung;D11.03;Spezialmedien:;Speicherung;;;;;Spezialmedien: Speicherung,D11.03,Spezialmedien: Speicherung,Special media storage
141,D11.04 Spezialmedien: Verteilung;D11.04;Spezialmedien:;Verteilung;;;;;Spezialmedien: Verteilung,D11.04,Spezialmedien: Verteilung,Special media distribution
142,D11.05 Spezialmedien: Armatur,D11.05,Spezialmedien: Armatur,Special media fitting
143,D12.01 Personenaufzug;D12.01;Personenaufzug;;;;;;Personenaufzug,D12.01,Personenaufzug,Passenger elevator
144,D12.02 Lasten- und Serviceaufzug;D12.02;Lasten-;und;Serviceaufzug;;;;Lasten- und Serviceaufzug,D12.02,Lasten- und Serviceaufzug,Load and service elevator
145,D12.03 Spezialaufzug;D12.03;Spezialaufzug;;;;;;Spezialaufzug,D12.03,Spezialaufzug,Special elevator
146,D12.04 Fahrtreppe;D12.04;Fahrtreppe;;;;;;Fahrtreppe,D12.04,Fahrtreppe,Staircase
147,D12.05 Fahrsteig;D12.05;Fahrsteig;;;;;;Fahrsteig,D12.05,Fahrsteig,Gear
148,D12.06 Hebeeinrichtung,D12.06,Hebeeinrichtung,Lifting device
149,E01.01 Wandabdichtung unter Terrain;E01.01;Wandabdichtung;unter;Terrain;;;;Wandabdichtung unter Terrain,E01.01,Wandabdichtung unter Terrain,Wall seal under terrain
150,E01.02 Aussenwärmedämmung unter Terrain;E01.02;Aussenwärmedämmung;unter;Terrain;;;;Aussenwärmedämmung unter Terrain,E01.02,Aussenwärmedämmung unter Terrain,Outside heating insulation under terrain
151,E01.03 Schutzschicht unter Terrain;E01.03;Schutzschicht;unter;Terrain;;;;Schutzschicht unter Terrain,E01.03,Schutzschicht unter Terrain,Protective layer under terrain
152,E02.01 Äussere Beschichtung;E02.01;Äussere;Beschichtung;;;;;Äussere Beschichtung,E02.01,Äussere Beschichtung,Exterior coating
153,E02.02 Aussenwärmedämmsystem;E02.02;Aussenwärmedämmsystem;;;;;;Aussenwärmedämmsystem,E02.02,Aussenwärmedämmsystem,External heat insulation system
154,E02.03 Fassadenbekleidung;E02.03;Fassadenbekleidung;;;;;;Fassadenbekleidung,E02.03,Fassadenbekleidung,Facade clothing
155,E02.04 Systemfassade;E02.04;Systemfassade;;;;;;Systemfassade,E02.04,Systemfassade,System facade
156,E02.05 Fassadenbekleidung Untersicht;E02.05;Fassadenbekleidung;Untersicht;;;;;Fassadenbekleidung Untersicht,E02.05,Fassadenbekleidung Untersicht,Facade clothing below
157,E02.06 Aussen liegende Absturzsicherung;E02.06;Aussen;liegende;Absturzsicherung;;;;Aussen liegende Absturzsicherung,E02.06,Aussen liegende Absturzsicherung,Fall protection lying outside
158,E03.01 Fenster;E03.01;Fenster;;;;;;Fenster,E03.01,Fenster,Window
159,E03.02 Aussentür;E03.02;Aussentür;;;;;;Aussentür,E03.02,Aussentür,Anterior door
160,E03.03 Aussentor;E03.03;Aussentor;;;;;;Aussentor,E03.03,Aussentor,Outer gate
161,E03.04 Sonnenschutz,E03.04,Sonnenschutz,Sun protection
162,E03.05 Absturzsicherung;E03.05;Absturzsicherung;;;;;;Absturzsicherung,E03.05,Absturzsicherung,Fall protection
163,F01.01 Dachabdichtung unter Terrain;F01.01;Dachabdichtung;unter;Terrain;;;;Dachabdichtung unter Terrain,F01.01,Dachabdichtung unter Terrain,Roof seal under terrain
164,F01.02 Bedachung Flachdach;F01.02;Bedachung;Flachdach;;;;;Bedachung Flachdach,F01.02,Bedachung Flachdach,Reduction flat roof
165,F01.03 Bedachung geneigtes Dach;F01.03;Bedachung;geneigtes;Dach;;;;Bedachung geneigtes Dach,F01.03,Bedachung geneigtes Dach,Roof inclined
166,F01.04 Systemdach;F01.04;Systemdach;;;;;;Systemdach,F01.04,Systemdach,System roof
167,F02.01 Element zu Flachdach;F02.01;Element;zu;Flachdach;;;;Element zu Flachdach,F02.01,Element zu Flachdach,Element to flat roof
168,F02.02 Element zu geneigtem Dach;F02.02;Element;zu;geneigtem;Dach;;;Element zu geneigtem Dach,F02.02,Element zu geneigtem Dach,Element to inclined roof
169,F02.03 Schutzanlage zu Dach;F02.03;Schutzanlage;zu;Dach;;;;Schutzanlage zu Dach,F02.03,Schutzanlage zu Dach,Protection system to roof
170,G01.01 Fest stehende Trennwand;G01.01;Fest;stehende;Trennwand;;;;Fest stehende Trennwand,G01.01,Fest stehende Trennwand,Firm partition
171,G01.02 Bewegliche Trennwand;G01.02;Bewegliche;Trennwand;;;;;Bewegliche Trennwand,G01.02,Bewegliche Trennwand,Movable partition
172,G01.03 Schachtfront;G01.03;Schachtfront;;;;;;Schachtfront,G01.03,Schachtfront,Shaft front
173,G01.04 Innenfenster;G01.04;Innenfenster;;;;;;Innenfenster,G01.04,Innenfenster,Inner window
174,G01.05 Innentür;G01.05;Innentür;;;;;;Innentür,G01.05,Innentür,Interior door
175,G01.06 Innentor;G01.06;Innentor;;;;;;Innentor,G01.06,Innentor,Interior gate
176,G02.01 Unterkonstruktion zu Bodenbelag;G02.01;Unterkonstruktion;zu;Bodenbelag;;;;Unterkonstruktion zu Bodenbelag,G02.01,Unterkonstruktion zu Bodenbelag,Sub construction to flooring
177,G02.02 Bodenbelag;G02.02;Bodenbelag;;;;;;Bodenbelag,G02.02,Bodenbelag,Flooring
178,G03.01 Unterkonstruktion zu Wandbekleidung;G03.01;Unterkonstruktion;zu;Wandbekleidung;;;;Unterkonstruktion zu Wandbekleidung,G03.01,Unterkonstruktion zu Wandbekleidung,Substructure to wall clothing
179,G03.02 Wandbekleidung;G03.02;Wandbekleidung;;;;;;Wandbekleidung,G03.02,Wandbekleidung,Wallwear
180,G04.01 Unterkonstruktion zu Deckenbekleidung;G04.01;Unterkonstruktion;zu;Deckenbekleidung;;;;Unterkonstruktion zu Deckenbekleidung,G04.01,Unterkonstruktion zu Deckenbekleidung,Substructure to ceiling clothing
181,G04.02 Deckenbekleidung;G04.02;Deckenbekleidung;;;;;;Deckenbekleidung,G04.02,Deckenbekleidung,Ceiling clothing
182,G05.01 Einbauschrank,G05.01,Einbauschrank,Incubator
183,G05.02 Einbauküche;G05.02;Einbauküche;;;;;;Einbauküche,G05.02,Einbauküche,Equipped kitchen
184,G05.03 Innerer Fensterausbau;G05.03;Innerer;Fensterausbau;;;;;Innerer Fensterausbau,G05.03,Innerer Fensterausbau,Inner window expansion
185,G05.04 Innerer Abschluss;G05.04;Innerer;Abschluss;;;;;Innerer Abschluss,G05.04,Innerer Abschluss,Inner conclusion
186,G05.05 Absturz-,G05.05,Absturz-,Crash
187,G05.06 Sonderbauteil;G05.06;Sonderbauteil;;;;;;Sonderbauteil,G05.06,Sonderbauteil,Special component
188,G05.07 Kleinbauteil,G05.07,Kleinbauteil,Small component
189,G06.01 Durchbruch,G06.01,Durchbruch,breakthrough
190,G06.02 Abschottung;G06.02;Abschottung;;;;;;Abschottung,G06.02,Abschottung,isolation
191,G06.03 Reinigung;G06.03;Reinigung;;;;;;Reinigung,G06.03,Reinigung,cleaning
192,G06.04 Trocknung;G06.04;Trocknung;;;;;;Trocknung,G06.04,Trocknung,Drying
193,H01.01 Produktionsanlage: Versorgung,H01.01,Produktionsanlage: Versorgung,Production system supply
194,H01.02 Produktionsanlage: Aufbereitung;H01.02;Produktionsanlage:;Aufbereitung;;;;;Produktionsanlage: Aufbereitung,H01.02,Produktionsanlage: Aufbereitung,Production system preparation
195,H01.03 Produktionsanlage: Speicherung;H01.03;Produktionsanlage:;Speicherung;;;;;Produktionsanlage: Speicherung,H01.03,Produktionsanlage: Speicherung,Production system storage
196,H01.04 Produktionsanlage: Verteilung;H01.04;Produktionsanlage:;Verteilung;;;;;Produktionsanlage: Verteilung,H01.04,Produktionsanlage: Verteilung,Production system distribution
197,H01.05 Produktionsanlage: Armatur,H01.05,Produktionsanlage: Armatur,Production system fitting
198,H02.01 Laboranlage: Versorgung,H02.01,Laboranlage: Versorgung,Laboratory system supply
199,H02.02 Laboranlage: Aufbereitung;H02.02;Laboranlage:;Aufbereitung;;;;;Laboranlage: Aufbereitung,H02.02,Laboranlage: Aufbereitung,Laboratory system preparation
200,H02.03 Laboranlage: Speicherung;H02.03;Laboranlage:;Speicherung;;;;;Laboranlage: Speicherung,H02.03,Laboranlage: Speicherung,Laboratory system storage
201,H02.04 Laboranlage: Verteilung;H02.04;Laboranlage:;Verteilung;;;;;Laboranlage: Verteilung,H02.04,Laboranlage: Verteilung,Laboratory system distribution
202,H02.05 Laboranlage: Armatur,H02.05,Laboranlage: Armatur,Laboratory system fitting
203,H03.01 Grossküche: Versorgung,H03.01,Grossküche: Versorgung,Grand kitchen supply
204,H03.02 Grossküche: Aufbereitung;H03.02;Grossküche:;Aufbereitung;;;;;Grossküche: Aufbereitung,H03.02,Grossküche: Aufbereitung,Grand kitchen preparation
205,H03.03 Grossküche: Lagerung;H03.03;Grossküche:;Lagerung;;;;;Grossküche: Lagerung,H03.03,Grossküche: Lagerung,Grand kitchen storage
